Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#16 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#22 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)	#33 (DAPI)	#34 (DAPI)	#35 (DAPI)	#36 (DAPI)	#37 (DAPI)	#38 (DAPI)	#39 (DAPI)	#40 (DAPI)	#41 (DAPI)	#42 (DAPI)	#43 (DAPI)	#44 (DAPI)	#45 (DAPI)	#46 (DAPI)	#47 (DAPI)	#48 (DAPI)	#49 (DAPI)	#50 (DAPI)	#51 (DAPI)	#52 (DAPI)	#53 (DAPI)	#54 (DAPI)	#55 (DAPI)	#56 (DAPI)	#57 (DAPI)	#58 (DAPI)	#59 (DAPI)	#60 (DAPI)	#61 (DAPI)	#62 (DAPI)	#63 (DAPI)	#64 (DAPI)	#65 (DAPI)	#66 (DAPI)	#67 (DAPI)	#68 (DAPI)	#69 (DAPI)	#70 (DAPI)	#71 (DAPI)	#72 (DAPI)	#73 (DAPI)	#74 (DAPI)
617.660	10443.77	12117.96	12390.93	14462.84	12113.5	11701.78	12067.54	14912.47	14447.67	10202.09	13274.25	13472.09	13139.65	9972.82	12114.7	9752.01	12593.22	13038.6	12922.62	12072.43	12105.94	12982.68	12916.83	9303.07	9264.17	12863.62	10336.47	12549.04	13784.1	10517.02	16210.76	13376.01	8659.09	15985.88	14345.45	12519.4	12519.85	14169.01	13213.68	12817.72	13446.54	12655.18	12808.03	13744.99	13655.15	12382.17	12533.06	12983.3	12146.39	5053.16	13419.63	10673.29	11597.02	11666.26	13406.01	11513.96	8291.66	13086.58	14012.75	13249.99	12326.84	11448.24	11023.7	13028.81	9852.4	10800.91	10468.56	10874.02	10785.18	12047.6	12093.09	11552.02
647.596	10920.27	12701.33	12949.65	14853.28	12748.68	12349.72	12636.85	14982.36	14630.22	10610.04	13706.37	13560.98	13415.5	10418.04	12540.02	10201.81	13251.01	13586.4	12965.55	12405.68	12670.07	13542.33	12927.97	9752.96	9685.19	12925.77	10810.65	13006.1	13815.98	11018.85	16267.85	13485.24	9236.16	16138.06	14408.34	12840.65	12796.39	14579.24	13303.88	13102.42	13528.25	12850.6	13023.74	14029.59	13984.71	12876.83	12947.64	13115.45	12426.41	5392.94	13896.18	11153.36	12057.3	12046.72	13579.08	11858.89	8671	13120.01	14436.33	13344.14	12828.16	11939.04	11513.67	13369.28	10378.78	11293.51	10923.33	11411.36	11253.9	12604.82	12622.41	12072.06
677.798	10899.95	12687.25	12916.39	14763.62	12798.61	12374.51	12570.72	14961.2	14618.14	10553.92	13698.28	13554.2	13368.52	10382.14	12530.1	10183.32	13292.28	13506.28	12964.71	12406.68	12614.54	13442.08	12928.1	9758.47	9639.96	12917.19	10799.21	12970.34	13803.73	10981.86	16264.28	13476.53	9377.5	16115.56	14407.08	12829.57	12786.21	14557.71	13290.07	13080.65	13518.31	12815.73	12980.99	14022.72	13989.13	12779.44	12903.29	13100.75	12411.65	5488.33	13830.37	11122.24	12080.09	11998.97	13531.43	11760.35	8639.41	13117.82	14417.92	13310.15	12789.31	11881.42	11446.04	13312.36	10404.12	11263.79	10887.99	11407.97	11224.76	12503.64	12601.85	11998.92
707.750	11183.89	13039.99	13172.91	14923.92	13168.92	12750.12	12864.92	14988.86	14706.31	10730.38	13880.99	13581.76	13460.49	10598.12	12717.72	10440.28	13622.59	13726.42	12974.59	12537.05	12846.57	13665.66	12928.83	9997.13	9872.08	12933.76	11001.92	13147.91	13825.25	11218.15	16281.2	13506.66	9762.31	16178.21	14422.75	12979.37	12892.53	14749.01	13314.13	13183.29	13545.73	12895.83	13071.33	14130.06	14154.14	13011.55	13081.15	13150.08	12515.61	5712.96	14025.52	11319.29	12283.93	12167.76	13580.78	11910.79	8795.64	13129.39	14580.99	13337.46	13005.37	12125.97	11674.18	13446.17	10664.14	11561.62	11107.38	11688.46	11481.97	12732.64	12856.55	12276.49
737.671	11053.8	12870.79	12986.38	14756.18	13032.5	12695.63	12683.18	14970.36	14657.97	10512.25	13812.24	13561.54	13377.69	10450.23	12626.5	10292.6	13563.94	13564.42	12955.3	12488.54	12715.88	13418.81	12928.24	9914.92	9766.72	12917.65	10868.04	13046.2	13799.95	11073.79	16269.11	13471.77	9769.46	16136.39	14387.55	12917.64	12830.25	14595.1	13287.02	13102.62	13514.09	12824.19	12997.73	14049.71	14067.69	12776.89	12971.41	13111.96	12460.46	5734.71	13850	11192.03	12185.01	12054.27	13486.12	11750.4	8680.21	13125.16	14459.87	13287.3	12868.12	11926.55	11519.63	13276.33	10623.83	11392.21	10968.13	11588.68	11359.79	12563.06	12667.79	12139.62
767.717	11681.19	13628.55	13637.16	15197.66	13774.16	13412.52	13383.5	15038.41	14797.05	11061.9	14181.15	13618.82	13589.36	11011.2	13015.98	10896.68	14274.34	14187.46	12972.9	12780.93	13308.59	14051.19	12933.7	10489.01	10318.76	12944.52	11450.91	13471.18	13834.48	11659.03	16299.54	13586.12	10441.74	16269.89	14457.73	13204.04	13044.64	15021.38	13366.04	13396.33	13594.22	13007.28	13240.25	14340.02	14415.6	13427.6	13386.89	13226.62	12737.36	6172.85	14345.25	11804.12	12692.19	12419.11	13677.04	12128	9143.9	13149.73	14918.97	13380.49	13329.79	12545.36	12147.62	13670.93	11268.3	12018.09	11560.18	12236.81	11986.27	13223.59	13355.52	12757.12
798.012	11711.64	13637.22	13651.7	15115	13837.47	13499.19	13390.44	15042.5	14815.78	11039.22	14215.19	13614.53	13609.65	11031.24	13010.1	10883.96	14348.53	14150.42	12974.13	12788.22	13301.53	14004.56	12932.52	10514.28	10340.78	12945.42	11466.85	13469.26	13833.98	11660.52	16306.29	13587.57	10625.53	16272.78	14465.19	13207.43	13059.05	14969.24	13352.62	13372.88	13583.76	12998.14	13232.6	14327.64	14386.43	13377.24	13378.49	13234.56	12725.45	6278.02	14349.18	11772.92	12701.23	12434.66	13660.14	12106.46	9136.74	13145.52	14906.84	13367.08	13327.14	12539.11	12148.05	13613.08	11301.96	12002.49	11533.44	12281.94	11976.03	13200.7	13337.67	12740.36
828.308	11920.27	13901.78	13830.03	15242.29	14084.89	13754.94	13580.79	15054.27	14852.19	11173.89	14299.07	13620.85	13649.31	11202.28	13120.85	11071.51	14603.37	14322.31	12980.53	12856.84	13471.61	14178.12	12937.48	10768.03	10525.43	12950.7	11645.55	13605.16	13838.21	11876.06	16321.61	13603.36	10938.59	16299.38	14474.98	13272.64	13103.41	15097.61	13363.6	13444.79	13602.75	13031.48	13288.25	14426.04	14490.27	13607.78	13516.63	13254.53	12803.29	6491.66	14444.53	11951.62	12843.33	12526.61	13691.96	12202.98	9298.12	13151.97	15029.78	13383.31	13442.49	12728.28	12349.31	13727.37	11555.72	12227.01	11751.42	12492.37	12163.12	13403.14	13511.03	12945.01
858.556	12213.91	14191.93	14089.73	15378.63	14357.39	14083.75	13911.37	15082.82	14883.52	11404.89	14408.55	13649.51	13700.57	11410.47	13263.47	11308.3	14868.1	14545.94	12982.63	12950.05	13713.62	14386.19	12935.36	11028.42	10775.12	12958.27	11896.15	13770.15	13843.71	12139.55	16344.02	13625	11334.36	16329.91	14489.56	13362.06	13164.97	15236.07	13378.7	13537.37	13625.91	13076.91	13355.12	14521.69	14586.28	13818.54	13672.19	13273.09	12862.2	6744.1	14603.13	12163.29	13012.26	12641.43	13722.79	12345.5	9516.29	13153.13	15239.75	13407.27	13577.68	12973.64	12609.29	13846.15	11839.68	12499.7	11990.42	12812.01	12444.79	13615.21	13747.6	13168.75
888.649	12843.9	14733.95	14561.23	15624.67	14876.16	14605.64	14498.65	15109.55	14943.34	11941.02	14588.27	13674.84	13828.12	11971.28	13466.47	11822.59	15372.94	15010.29	12991.49	13064.73	14133.38	14821.58	12937.56	11617.53	11311.85	12970.57	12382.54	14015.87	13860.49	12722.26	16354.87	13690.38	12026.92	16371.84	14518.39	13503.86	13237.07	15522.18	13408.49	13723.52	13652.34	13164.9	13515.76	14664.17	14729.55	14418.17	13921.25	13330.53	13006.25	7193.21	14977.25	12669.59	13344.42	12847.76	13861.51	12594.45	9979.39	13155.2	15617.77	13447.36	13817.57	13452.29	13227.64	14108.47	12451.08	13100.61	12583.28	13440.06	13026.81	14150.06	14247.07	13704.1
