Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#7 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#16 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#23 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)	#33 (DAPI)	#34 (DAPI)	#35 (DAPI)	#36 (DAPI)	#37 (DAPI)	#38 (DAPI)	#39 (DAPI)	#40 (DAPI)	#41 (DAPI)	#42 (DAPI)	#43 (DAPI)	#44 (DAPI)	#45 (DAPI)	#46 (DAPI)	#47 (DAPI)
604.524	4681.55	7090.9	6131.15	5184.18	5292.73	6980.38	5016.09	5170.11	5572.61	6538.63	3952.19	3714.39	4224.52	5439.73	4975.06	6043.08	6707.46	5968.62	3604.22	7032.22	5016.02	5502.01	5437.97	4798.17	5061.61	5187.46	4622.59	5416.1	6730.16	3415.57	5292.42	5249.67	5118.05	3453.8	6323.55	5040.43	6088.82	4740.28	5577.55	5898.75	4768.2	3120.5	8483.2	6470.24	7050.51	4985.78
634.414	4926.4	7500.63	6432.93	5480.06	5581.95	7358.24	5285.44	5468.77	5864.03	6936.96	4135.17	3868.02	4437.34	5694.29	5197.61	6366.79	7060.39	6273.43	3754.64	7418.35	5318.91	5788.57	5769.04	5029.13	5312.89	5462.49	4867.15	5731.15	7123.18	3551.16	5494.09	5520.18	5357.39	3609.15	6632.95	5273.3	6377.25	4965.85	5810.44	6181.74	4999.07	3237.41	8894.9	6825.06	7434.82	5193.95
664.507	5282.45	8077.8	6918.89	5913.02	5975.86	7928.14	5679.19	5901.09	6288.01	7463.09	4404.38	4099.82	4742.13	6077.75	5541.82	6808.04	7607.21	6712.64	3975.81	7974.25	5771.17	6229.03	6218.77	5390.34	5690.94	5871.09	5217.47	6166.2	7670.98	3737.91	5813.53	5939.39	5740.26	3876.67	7127.18	5639.01	6806.94	5314.56	6214.07	6618.55	5338.97	3448.16	9490.58	7263.68	7988.89	5543.89
694.599	5385.81	8290.73	7060.28	6052.93	6130.41	8096.09	5800.2	6040.43	6411.63	7633.55	4508.17	4164.73	4831.33	6178.7	5611.93	6929.34	7785.32	6833.44	4026.7	8120.85	5938.11	6381.94	6384.37	5500.91	5808.17	5962.5	5321.15	6295.16	7837.34	3767.7	5869.83	6062.74	5832.98	3945.34	7248.36	5778.94	6926.09	5406.88	6292.75	6714.48	5425.79	3488.65	9670.07	7413.06	8151.25	5628.05
724.489	5593.72	8627.92	7343.46	6356.2	6367.62	8461.22	6016.81	6306.14	6703.88	7993.17	4686.37	4315.56	5009.39	6417.83	5806.6	7207.61	8140.72	7116.04	4154.39	8482.54	6189.51	6652.4	6665.83	5719.46	6025.08	6207.12	5543.46	6586.29	8164.75	3880.26	6030.33	6282.96	6047.24	4091.27	7550.97	5976.64	7174.34	5614.94	6508.14	6932.31	5624.79	3599.09	10008.61	7731.96	8518.34	5843.16
754.488	5561.69	8616.84	7293.1	6352.32	6327.07	8407.75	6000.45	6315.47	6660.01	7957.08	4669.01	4293.31	4995.37	6345.66	5763.26	7142.11	8122.49	7056.13	4112.52	8429.33	6207.4	6651.43	6666.17	5688.97	6009.38	6165.22	5528.74	6556.9	8131.71	3842.02	5955.33	6256.13	5998.57	4087.36	7485.5	5959.25	7085.13	5581.15	6441.8	6876.45	5606.41	3559.3	9910.27	7682.69	8474.97	5810.42
784.518	5714.34	8871	7495.43	6550.57	6520.1	8677.89	6212.69	6530.06	6835.15	8210.58	4797.47	4388.13	5130.74	6513.22	5884.68	7312.19	8348.98	7258.75	4213.95	8704.69	6408.19	6862.66	6868.83	5871.79	6185.74	6319.69	5700.05	6782.47	8406.01	3919.19	6071.87	6428.5	6159.64	4210.73	7691.04	6128.74	7246.84	5742.48	6616.57	7033.3	5734.72	3647.46	10146.84	7884.71	8727.06	5958.38
814.829	5861.81	9140.39	7685.92	6751.22	6703.87	8910.12	6374.69	6721.52	7034.9	8438.88	4921.04	4504.66	5273.13	6639.44	6053	7486.94	8544.82	7444.3	4306.87	8945.34	6600.96	7053.29	7080.69	6038.64	6371.36	6506.41	5848.83	6984.6	8613.24	4005.56	6178.14	6586.34	6308.69	4307.52	7865.98	6268.06	7428.71	5864.09	6769.81	7210.01	5905.15	3730.03	10365.2	8114.21	8969.63	6107.21
845.327	6174.15	9664.09	8096.14	7175.86	7079.63	9388.46	6755.92	7116.8	7415.37	8933.75	5195.14	4730.33	5546.94	6951.25	6359.44	7864.55	9045.56	7855.35	4537.58	9475.95	7008.68	7443.78	7476.93	6386.94	6724.6	6847.74	6208.91	7390.21	9113.52	4176.87	6488.98	6953.58	6635.55	4556.16	8277.03	6594.08	7774.46	6186.73	7120.85	7541.11	6206.79	3922.62	10882.94	8524.56	9418.93	6392.93
875.342	6520.23	10197.24	8548.94	7611.29	7463.06	9914.58	7103.83	7518.66	7827.02	9447.16	5483.08	4983.18	5837.48	7312.8	6668.71	8264.62	9531.06	8259	4751.99	9953.31	7416.46	7901.46	7887.32	6728.7	7088.81	7231.24	6536.66	7784.44	9613.19	4392.35	6791.93	7303.36	6975.9	4807.26	8708.02	6944.33	8156.59	6504.48	7453.05	7909.07	6558.18	4132.16	11441.22	8962.56	9939.49	6707.54
