?Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#7 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#22 (DAPI)	#23 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)	#33 (DAPI)	#34 (DAPI)	#35 (DAPI)	#36 (DAPI)	#37 (DAPI)	#38 (DAPI)	#39 (DAPI)	#40 (DAPI)	#41 (DAPI)	#42 (DAPI)	#43 (DAPI)	#44 (DAPI)	#45 (DAPI)	#46 (DAPI)	#47 (DAPI)	#48 (DAPI)	#49 (DAPI)	#50 (DAPI)	#51 (DAPI)	#52 (DAPI)	#53 (DAPI)	#54 (DAPI)	#55 (DAPI)	#56 (DAPI)	#57 (DAPI)	#58 (DAPI)	#59 (DAPI)	#60 (DAPI)	#61 (DAPI)	#62 (DAPI)	#63 (DAPI)	#64 (DAPI)	#65 (DAPI)	#66 (DAPI)	#67 (DAPI)	#68 (DAPI)	#69 (DAPI)	#70 (DAPI)	#71 (DAPI)
630.888	13320.11	9697.97	7510.4	13055.26	11462.5	10778.73	12322.32	10659.01	8576.21	7819.88	12768.55	11977.94	6938.52	12736.12	11059.76	12648.48	13472.41	11763.02	10471.44	12727.22	12699.71	12669.19	10333.4	12535.53	12035.91	12206.17	12548.31	14222.74	9821.16	13386.74	12355.64	12675.31	14886.06	12685.62	12751.11	14943.04	11414.79	13011.73	13448.02	11723.05	15161.72	12930.19	10222.58	10604.88	12088.6	11234.63	12618.13	11558.33	11591.41	16204.7	11306.76	9290.27	7680.51	8989.18	14436.11	12134.58	13190.27	13180.74	9296.62	13598.02	11002.8	12547.76	13485.62	8143.33	9467.31	9905.93	12953.68	11707.04	9887.74	8798.38
660.919	13759.93	10005.61	7776.44	13189.78	11830.47	11062.6	12650.43	11025.54	8878.3	8115.38	12896.69	12381.19	7280.91	12897.54	11390.64	13056.77	13610.39	11978.39	10793.85	12773.5	12901.08	12771.15	10694.81	12886.85	12173.83	12556.37	12595.13	14410.18	10218.26	13518.75	12692.28	13126.24	14914.73	12809.58	12869.8	15051.92	11762.63	13083.9	13573.3	11958.15	15372.15	13405.4	10640.34	10997.32	12227.2	11637.08	12750	11986.18	11984.71	16220.61	11573.84	9607.54	7957.49	9372.73	14590.9	12512.94	13486.25	13478.59	9614.56	13991.79	11406.52	12949.48	13819.02	8449.92	9761.47	10227.88	13446.85	12093.01	10220.31	9108.58
691.011	13893.2	10144.13	7835.14	13240.12	11938.55	11117.75	12784.7	11185	9007.52	8229.21	12952.28	12451.46	7477.44	12949.39	11480.12	13122.4	13623.12	12049.06	10888.42	12775.73	12946.33	12789.65	10782.24	13000.13	12166.59	12667.81	12606	14413.19	10375.91	13540.3	12781.21	13269.52	14932.87	12830.39	12901.65	15046.53	11869.67	13088.29	13588.35	12002.92	15391.26	13551.07	10747.75	11116.64	12215.51	11796.75	12748.43	12058.81	11995.44	16197.32	11592.27	9654.82	8029.97	9500.13	14554.04	12608.87	13560.78	13498.36	9679.87	14090.82	11521.37	13008.65	13904.36	8583.16	9810.29	10284.16	13586.19	12179.51	10279.74	9195.88
720.963	14087.01	10295.97	7952.91	13316.3	12062.52	11174.58	12909.85	11375.56	9189.28	8428.52	12986.08	12598	7685.25	12962.09	11599.83	13344.17	13640.14	12107.39	10975.43	12751.97	12987.62	12806.76	10948.84	13150.9	12171.83	12814.73	12595.27	14432.63	10607.44	13591.26	12874.02	13550.39	14932.67	12852.11	12873.98	15003.38	12041.05	13070.43	13633.3	12076.63	15419.66	13751.43	10930.05	11306.75	12222.05	11959.7	12750.51	12273.36	12102.9	16148.87	11652.4	9799.32	8192.33	9696.79	14580.27	12728.72	13688.66	13517.91	9783.19	14194.18	11694.04	13150.9	14031.53	8726.51	9927.85	10355.13	13802.04	12299.5	10396.81	9343.24
750.900	14060.67	10233.03	7952.09	13292.38	11975.8	11035.26	12897.36	11378.16	9165.62	8433.25	12947.97	12524.31	7756.21	12968.12	11552.63	13251.35	13608.46	12114.38	10974.83	12751.31	12998.43	12815.23	10916.59	13152.57	12186.15	12808.89	12588.92	14381.48	10630.73	13570.85	12871.88	13519.25	14911.09	12842.2	12867.82	15006.15	12036.4	13060.03	13588.5	12046.92	15391.4	13734.15	10935.52	11276.03	12172.06	11953.59	12717.89	12235.81	12053.96	16126.97	11605.52	9736.37	8165.16	9720.22	14533.04	12694.23	13675.99	13466.62	9775.44	14172.06	11667.6	13072.21	13988.18	8715.28	9894.42	10335.23	13815.66	12231.53	10370.91	9352.71
780.946	14249.72	10428.21	8041.08	13345.76	12178.6	11155.1	13021.2	11539.39	9328.11	8599.35	12996.29	12671.93	7978.28	13018.58	11647.06	13380.85	13635.74	12178.2	11074.75	12750.22	13035.9	12837.06	11062.93	13261.65	12211.58	12926.94	12590.25	14412.88	10843.98	13604.6	12979.33	13708.49	14926.37	12866.01	12876.7	15001.54	12154.96	13065.94	13649.41	12100.88	15440.54	13908.36	11094.07	11467.4	12169.57	12111.71	12738.42	12384.51	12159.61	16093.21	11668.93	9881.15	8289.24	9904	14500.97	12808.13	13783.56	13497.91	9918.54	14268.48	11842.93	13238.27	14084.3	8834.66	9978.46	10440.92	13995.14	12403.24	10474.9	9452.04
811.272	14480.04	10674.73	8240.57	13422.9	12424.12	11336.24	13170.85	11767.24	9579.26	8837.82	13061.93	12844.21	8235.47	13083.72	11818.03	13580.58	13717.76	12266.54	11240.86	12778.92	13121.23	12866.73	11345.17	13421.76	12267.02	13103.72	12624.92	14504.4	11119.69	13686.9	13129.67	13975.42	14943.08	12907.93	12919.39	15069.65	12296.96	13096.83	13680.91	12197.79	15530.8	14164.96	11282.29	11716.46	12252.91	12371.63	12780.87	12651.71	12371.99	16086.82	11801.66	10058.38	8486.61	10113.89	14554.96	12968.24	13932.02	13640.34	10129.68	14433.76	12019.86	13436.19	14213.34	9057.59	10210.53	10632.2	14267.75	12557.98	10650.65	9631.43
841.771	14623.16	10878.26	8391.45	13482.71	12596.55	11428	13301.06	11951.3	9809.73	9007.13	13120.69	13043.36	8454.22	13132.12	11940.36	13737.06	13725.71	12333.61	11364.13	12774.68	13165.05	12882.68	11532.2	13534.67	12274.67	13225.28	12630.84	14551.18	11352.77	13718.05	13257.66	14247.96	14947.89	12921.94	12943.7	15084.62	12408.15	13099.65	13715.34	12264.83	15571.48	14393.79	11460.07	11941.39	12274.48	12541.88	12803.33	12874.11	12546.83	16064.98	11877.56	10230.08	8657.87	10370.01	14608.65	13100.13	14018.78	13755.08	10338.63	14566.84	12285.46	13620.22	14328.16	9217.29	10409.94	10807.16	14516.01	12767.63	10782.02	9820.17
871.770	15070.67	11407.89	8796.7	13666.88	13110.28	11954.93	13594.19	12409.65	10308.31	9489.58	13305.45	13458.71	8986.94	13269.3	12284.8	14188.4	13851.76	12488.93	11722.91	12824.23	13325.78	12949.36	12136.75	13786.59	12392.09	13507.93	12691.87	14801.84	11974.56	13859.93	13611.16	14800.9	14991.7	13002.48	13073.61	15260.34	12637.22	13178.61	13841.24	12429.27	15727.21	14866.29	11853.04	12489.16	12448.9	13058.43	12986.55	13476.39	13087.39	16115.18	12173.98	10706.93	9069.69	10886.16	14783.84	13454.4	14282.2	14079.61	10839.49	14927.96	12924.8	14085.99	14582.24	9729.18	10878.88	11286.54	14939.84	13215.87	11350.98	10306.66
901.831	15389.06	11962.18	9305.84	13828.37	13580.34	12533.23	13812.42	12828.18	10927.75	10075.31	13459.03	13864.41	9552.07	13362.77	12601.33	14592.48	13932.41	12579.84	12052.26	12847.81	13431.77	12982.19	12776.84	14004.42	12463.17	13746.18	12743.93	15035.51	12579.32	13957.1	13866.11	15266.34	15017.09	13056.78	13125.51	15361.17	12832.49	13223.74	13918.9	12552.39	15847.35	15266.5	12162.73	13014.17	12586.17	13515.95	13113.96	14074.77	13689.55	16131.18	12422.55	11236.7	9571.57	11482.86	14927.13	13694.43	14465.02	14330.16	11409.66	15174.7	13588.54	14490.4	14839.28	10225.46	11425.24	11869.68	15353.92	13773.08	11924.74	10804.48
